"voti" "partito" "circoscr" "macroreg"
18.9096678844025 "sx" "C" "C"
40.9869418621762 "dx" "C" "C"
16.3005994843283 "m5s" "C" "C"
24.4852113370238 "sx" "C" "C"
37.8201702732569 "dx" "C" "C"
18.7580739718494 "m5s" "C" "C"
29.6586506076814 "sx" "C" "C"
35.8897595182304 "dx" "C" "C"
12.4933071568802 "m5s" "C" "C"
42.0690633470458 "sx" "C" "C"
23.9112765639317 "dx" "C" "C"
11.2104296618909 "m5s" "C" "C"
25.9683098591549 "sx" "C" "C"
37.9912539754657 "dx" "C" "C"
13.8450325609571 "m5s" "C" "C"
32.6341935374361 "sx" "C" "C"
29.352555434223 "dx" "C" "C"
15.667558744151 "m5s" "C" "C"
24.4078423038096 "sx" "C" "C"
39.29971839966 "dx" "C" "C"
13.2771903724563 "m5s" "C" "C"
22.7832595356364 "sx" "C" "C"
35.7027263941022 "dx" "C" "C"
14.7063451035041 "m5s" "C" "C"
31.3859964593875 "sx" "C" "C"
33.7733543353917 "dx" "C" "C"
13.195983588657 "m5s" "C" "C"
29.703791385213 "sx" "C" "C"
35.3033320811154 "dx" "C" "C"
12.4090074636916 "m5s" "C" "C"
32.4624423065768 "sx" "C" "C"
34.4677289714205 "dx" "C" "C"
11.6894954466735 "m5s" "C" "C"
37.5506601449009 "sx" "C" "C"
28.699201941819 "dx" "C" "C"
11.9708727152367 "m5s" "C" "C"
24.1650641308375 "sx" "C" "C"
38.0571384885 "dx" "C" "C"
14.1655346000717 "m5s" "C" "C"
23.4016588982273 "sx" "C" "C"
38.564796124344 "dx" "C" "C"
16.0962674789885 "m5s" "C" "C"
16.9769745131478 "sx" "D" "S"
34.4163340893241 "dx" "D" "S"
24.8216975216395 "m5s" "D" "S"
17.2277146490544 "sx" "D" "S"
35.6655864134225 "dx" "D" "S"
18.4099766173032 "m5s" "D" "S"
17.8636818116892 "sx" "D" "S"
33.538715248471 "dx" "D" "S"
22.8064821908558 "m5s" "D" "S"
15.6803529263725 "sx" "D" "S"
38.1312963086329 "dx" "D" "S"
22.6441350417102 "m5s" "D" "S"
15.4563944699448 "sx" "D" "S"
22.3675892587197 "dx" "D" "S"
30.0854794821757 "m5s" "D" "S"
18.2100149024074 "sx" "D" "S"
23.7329924761016 "dx" "D" "S"
29.4819293165489 "m5s" "D" "S"
16.6779037695372 "sx" "D" "S"
23.0056696291756 "dx" "D" "S"
26.6288691388293 "m5s" "D" "S"
17.438373270666 "sx" "D" "S"
22.8152459988922 "dx" "D" "S"
31.1688183990325 "m5s" "D" "S"
19.6082909838406 "sx" "D" "S"
21.8770817868631 "dx" "D" "S"
32.9126934277394 "m5s" "D" "S"
20.6723959890981 "sx" "D" "S"
22.7749030849185 "dx" "D" "S"
19.6256566807925 "m5s" "D" "S"
17.5521435942337 "sx" "D" "S"
20.9872103567966 "dx" "D" "S"
19.966227837018 "m5s" "D" "S"
20.4210967625566 "sx" "D" "S"
22.0732117524899 "dx" "D" "S"
29.9511044162023 "m5s" "D" "S"
16.402909656283 "sx" "D" "S"
27.8614660923506 "dx" "D" "S"
27.7194735965351 "m5s" "D" "S"
17.0057756099751 "sx" "D" "S"
23.3836430684261 "dx" "D" "S"
32.3863540690267 "m5s" "D" "S"
20.1246316838021 "sx" "D" "S"
13.8631833609114 "dx" "D" "S"
39.154893680769 "m5s" "D" "S"
18.6216011682069 "sx" "D" "S"
24.1714364894105 "dx" "D" "S"
26.7001353670365 "m5s" "D" "S"
15.0254226630015 "sx" "D" "S"
24.5683537253634 "dx" "D" "S"
31.3794714242081 "m5s" "D" "S"
13.5577705451587 "sx" "D" "S"
23.3802888527258 "dx" "D" "S"
21.3562855980472 "m5s" "D" "S"
17.0400925504476 "sx" "D" "S"
22.3577605826127 "dx" "D" "S"
26.5707024730693 "m5s" "D" "S"
14.9909372860193 "sx" "D" "S"
23.9545655939099 "dx" "D" "S"
30.0294034720264 "m5s" "D" "S"
15.2724690352361 "sx" "D" "S"
27.3130452339676 "dx" "D" "S"
26.7442265249145 "m5s" "D" "S"
14.4162053058717 "sx" "D" "S"
28.5347995131388 "dx" "D" "S"
28.8854464357255 "m5s" "D" "S"
19.5669929769754 "sx" "D" "S"
26.8526357208437 "dx" "D" "S"
21.8602072328806 "m5s" "D" "S"
15.5810466928373 "sx" "D" "S"
25.4976032193794 "dx" "D" "S"
26.8838892943799 "m5s" "D" "S"
25.365073878856 "sx" "E" "S"
25.6466200063366 "dx" "E" "S"
24.2705723091103 "m5s" "E" "S"
27.004477004477 "sx" "E" "S"
26.4736806403473 "dx" "E" "S"
27.7777777777778 "m5s" "E" "S"
20.8641817717641 "sx" "E" "S"
30.4123053357161 "dx" "E" "S"
25.2212577652966 "m5s" "E" "S"
24.4556765163297 "sx" "E" "S"
28.8505332148411 "dx" "E" "S"
25.7671906243057 "m5s" "E" "S"
22.4998537641118 "sx" "E" "S"
27.7058513853413 "dx" "E" "S"
26.5632616452512 "m5s" "E" "S"
14.9926742162938 "sx" "E" "S"
20.3008149934373 "dx" "E" "S"
30.8949665761118 "m5s" "E" "S"
14.1138119768191 "sx" "E" "S"
23.3781390856407 "dx" "E" "S"
34.5634792874007 "m5s" "E" "S"
17.8741433242861 "sx" "E" "S"
21.1252239626758 "dx" "E" "S"
32.8416502575201 "m5s" "E" "S"
18.8860963490206 "sx" "E" "S"
18.648197532759 "dx" "E" "S"
35.3893674577442 "m5s" "E" "S"
15.8471085154091 "sx" "E" "S"
20.4288280942606 "dx" "E" "S"
23.9330258311329 "m5s" "E" "S"
16.5463614581293 "sx" "E" "S"
20.201730988512 "dx" "E" "S"
29.1899616731215 "m5s" "E" "S"
20.185737010732 "sx" "E" "S"
24.7373019962808 "dx" "E" "S"
33.0797840163108 "m5s" "E" "S"
16.0081002828405 "sx" "E" "S"
18.7754179846362 "dx" "E" "S"
34.7751502066911 "m5s" "E" "S"
15.0912422375697 "sx" "E" "S"
21.1784799316823 "dx" "E" "S"
37.2488869359024 "m5s" "E" "S"
